Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,0.5
0.1,0,-1,-1,0,0.5
0.17,0,-1,-1,0,0.5
0.24,0,-1,-1,0,0.5
0.29,0,-1,-1,0,0.5
0.33,0,-1,-1,0,0.5
0.37,0,-1,-1,0,0.5
0.39,0,-1,-1,0,0.5
0.43,0,-1,-1,0,0.5
0.45,0,-1,-1,0,0.5
0.48,0,-1,-1,0,0.5
0.51,0,-1,-1,0,0.5
0.54,0,-1,-1,0,0.5
0.57,0,-1,-1,0,0.5
0.6,0,-1,-1,0,0.5
0.64,0,-1,-1,0,0.5
0.67,0,-1,-1,0,0.5
0.7,0,-1,-1,0,0.5
0.74,0,-1,-1,0,0.5
0.77,1,594,251,26.52,0.5
0.8,1,363,292,111.93,0.5
0.84,1,201,299,108.58,0.5
0.87,1,70,292,88.41,0.5
0.9,0,-1,-1,0,0.5
0.93,0,-1,-1,0,0.5
0.96,0,-1,-1,0,0.5
0.99,0,-1,-1,0,0.5
1.02,0,-1,-1,0,0.5
1.05,0,-1,-1,0,0.5
1.08,0,-1,-1,0,0.5
1.11,0,-1,-1,0,0.5
1.14,0,-1,-1,0,0.5
1.17,0,-1,-1,0,0.5
1.2,0,-1,-1,0,0.5
1.23,0,-1,-1,0,0.5
1.26,0,-1,-1,0,0.5
1.3,0,-1,-1,0,0.5
1.32,0,-1,-1,0,0.5
1.35,0,-1,-1,0,0.5
1.39,0,-1,-1,0,0.5
1.42,0,-1,-1,0,0.5
1.45,0,-1,-1,0,0.5
1.48,0,-1,-1,0,0.5
1.51,0,-1,-1,0,0.5
1.54,0,-1,-1,0,0.5
1.57,0,-1,-1,0,0.5
1.6,0,-1,-1,0,0.5
1.63,0,-1,-1,0,0.5
1.66,0,-1,-1,0,0.5
1.69,1,27,276,60.36,0.5
1.72,1,247,297,100.78,0.5
1.75,1,395,289,99.3,0.5
1.78,1,529,271,89.07,0.5
1.81,1,592,238,32.52,0.5
1.84,0,-1,-1,0,0.5
1.88,0,-1,-1,0,0.5
1.91,0,-1,-1,0,0.5
1.94,0,-1,-1,0,0.5
1.97,0,-1,-1,0,0.5
2.0,0,-1,-1,0,0.5
2.03,0,-1,-1,0,0.5
2.06,0,-1,-1,0,0.5
2.09,0,-1,-1,0,0.5
2.12,0,-1,-1,0,0.5
2.16,0,-1,-1,0,0.5
2.18,0,-1,-1,0,0.5
2.21,0,-1,-1,0,0.5
2.24,0,-1,-1,0,0.5
2.28,0,-1,-1,0,0.5
2.3,0,-1,-1,0,0.5
2.33,0,-1,-1,0,0.5
2.37,0,-1,-1,0,0.5
2.4,0,-1,-1,0,0.5
2.43,0,-1,-1,0,0.5
2.46,0,-1,-1,0,0.5
2.49,0,-1,-1,0,0.5
2.52,0,-1,-1,0,0.5
2.55,0,-1,-1,0,0.5
2.58,1,547,270,82.78,0.5
2.61,1,431,286,107.94,0.5
2.65,1,282,297,106.48,0.5
2.67,1,47,282,74.55,0.5
2.7,0,-1,-1,0,0.5
2.73,0,-1,-1,0,0.5
2.77,0,-1,-1,0,0.5
2.8,0,-1,-1,0,0.5
2.82,0,-1,-1,0,0.5
2.86,0,-1,-1,0,0.5
2.89,0,-1,-1,0,0.5
2.92,0,-1,-1,0,0.5
2.95,0,-1,-1,0,0.5
2.98,0,-1,-1,0,0.5
3.01,0,-1,-1,0,0.5
3.04,0,-1,-1,0,0.5
3.07,0,-1,-1,0,0.5
3.1,0,-1,-1,0,0.5
3.14,0,-1,-1,0,0.5
3.17,0,-1,-1,0,0.5
3.2,0,-1,-1,0,0.5
3.24,0,-1,-1,0,0.5
3.27,0,-1,-1,0,0.5
3.3,0,-1,-1,0,0.5
3.33,0,-1,-1,0,0.5
3.36,0,-1,-1,0,0.5
3.39,0,-1,-1,0,0.5
3.42,0,-1,-1,0,0.5
3.45,1,4,262,12.59,0.5
3.48,1,53,286,80.37,0.5
3.51,1,154,298,96.0,0.5
3.54,1,285,297,97.82,0.5
3.57,1,538,269,84.53,0.5
3.6,1,594,238,28.02,0.5
3.64,0,-1,-1,0,0.5
3.67,0,-1,-1,0,0.5
3.7,0,-1,-1,0,0.5
3.73,0,-1,-1,0,0.5
3.76,0,-1,-1,0,0.5
3.79,0,-1,-1,0,0.5
3.82,0,-1,-1,0,0.5
3.85,0,-1,-1,0,0.5
3.88,0,-1,-1,0,0.5
3.91,0,-1,-1,0,0.5
3.94,0,-1,-1,0,0.5
3.97,0,-1,-1,0,0.5
4.0,0,-1,-1,0,0.5
4.03,0,-1,-1,0,0.5
4.06,0,-1,-1,0,0.5
4.09,0,-1,-1,0,0.5
4.12,0,-1,-1,0,0.5
4.15,0,-1,-1,0,0.5
4.18,0,-1,-1,0,0.5
4.21,0,-1,-1,0,0.5
4.24,0,-1,-1,0,0.5
4.27,0,-1,-1,0,0.5
