Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,1
0.08,0,-1,-1,0,1
0.15,0,-1,-1,0,1
0.21,0,-1,-1,0,1
0.26,0,-1,-1,0,1
0.31,0,-1,-1,0,1
0.36,0,-1,-1,0,1
0.4,0,-1,-1,0,1
0.43,0,-1,-1,0,1
0.46,0,-1,-1,0,1
0.49,0,-1,-1,0,1
0.52,1,11,228,23.69,1
0.56,1,42,254,44.06,1
0.59,1,99,280,52.67,1
0.62,1,165,299,54.92,1
0.65,1,236,309,54.85,1
0.68,1,312,311,54.26,1
0.71,1,463,286,47.94,1
0.74,1,533,263,46.31,1
0.77,1,578,240,34.21,1
0.8,0,-1,-1,0,1
0.83,0,-1,-1,0,1
0.86,0,-1,-1,0,1
0.89,0,-1,-1,0,1
0.93,0,-1,-1,0,1
0.96,0,-1,-1,0,1
0.98,0,-1,-1,0,1
1.02,0,-1,-1,0,1
1.05,0,-1,-1,0,1
1.08,0,-1,-1,0,1
1.11,0,-1,-1,0,1
1.14,0,-1,-1,0,1
1.17,0,-1,-1,0,1
1.2,0,-1,-1,0,1
1.23,0,-1,-1,0,1
1.27,0,-1,-1,0,1
1.3,0,-1,-1,0,1
1.33,0,-1,-1,0,1
1.36,0,-1,-1,0,1
1.39,0,-1,-1,0,1
1.42,0,-1,-1,0,1
1.45,0,-1,-1,0,1
1.48,1,529,263,47.89,1
1.51,1,460,285,49.12,1
1.54,1,389,301,50.77,1
1.57,1,316,310,53.39,1
1.6,1,246,309,53.15,1
1.63,1,181,301,51.71,1
1.66,1,67,266,44.63,1
1.69,1,26,243,35.22,1
1.72,1,5,218,15.57,1
1.76,0,-1,-1,0,1
1.79,0,-1,-1,0,1
1.82,0,-1,-1,0,1
1.86,0,-1,-1,0,1
1.89,0,-1,-1,0,1
1.93,0,-1,-1,0,1
1.96,0,-1,-1,0,1
1.99,0,-1,-1,0,1
2.02,0,-1,-1,0,1
2.05,0,-1,-1,0,1
2.08,0,-1,-1,0,1
2.12,0,-1,-1,0,1
2.15,0,-1,-1,0,1
2.18,0,-1,-1,0,1
2.21,0,-1,-1,0,1
2.24,0,-1,-1,0,1
2.27,0,-1,-1,0,1
2.31,0,-1,-1,0,1
2.33,1,9,226,21.38,1
2.36,1,33,250,40.65,1
2.4,1,81,274,48.6,1
2.43,1,137,292,50.79,1
2.46,1,200,305,52.2,1
2.48,1,265,310,51.71,1
2.52,1,400,300,47.46,1
2.56,1,465,285,45.55,1
2.59,1,526,265,43.91,1
2.62,1,594,223,17.56,1
2.66,0,-1,-1,0,1
2.69,0,-1,-1,0,1
2.71,0,-1,-1,0,1
2.74,0,-1,-1,0,1
2.78,0,-1,-1,0,1
2.81,0,-1,-1,0,1
2.84,0,-1,-1,0,1
2.87,0,-1,-1,0,1
2.9,0,-1,-1,0,1
2.93,0,-1,-1,0,1
2.96,0,-1,-1,0,1
2.99,0,-1,-1,0,1
3.02,0,-1,-1,0,1
3.05,0,-1,-1,0,1
3.08,0,-1,-1,0,1
3.11,0,-1,-1,0,1
