Real Frame,Preview Frame,ΔFrames,Latency (ms)
frame_6.png,frame_28.png,22,91.67
frame_11.png,frame_32.png,21,87.5
frame_15.png,frame_38.png,23,95.83
frame_26.png,frame_46.png,20,83.33
frame_29.png,frame_51.png,22,91.67
frame_39.png,frame_60.png,21,87.5
frame_46.png,frame_68.png,22,91.67
frame_53.png,frame_75.png,22,91.67
frame_60.png,frame_85.png,25,104.17
frame_68.png,frame_90.png,22,91.67
frame_76.png,frame_97.png,21,87.5
frame_81.png,frame_106.png,25,104.17
frame_90.png,frame_111.png,21,87.5
frame_97.png,frame_119.png,22,91.67
frame_104.png,frame_128.png,24,100.0
frame_110.png,frame_133.png,23,95.83
frame_119.png,frame_142.png,23,95.83
frame_124.png,frame_149.png,25,104.17
frame_133.png,frame_156.png,23,95.83
frame_140.png,frame_161.png,21,87.5
frame_145.png,frame_170.png,25,104.17
frame_153.png,frame_174.png,21,87.5
frame_160.png,frame_182.png,22,91.67
frame_167.png,frame_190.png,23,95.83
frame_174.png,frame_198.png,24,100.0
frame_181.png,frame_202.png,21,87.5
frame_188.png,frame_212.png,24,100.0
frame_196.png,frame_216.png,20,83.33
frame_202.png,frame_227.png,25,104.17
frame_216.png,frame_238.png,22,91.67
