Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,0.5
0.09,1,290,296,104.84,0.5
0.16,1,563,257,64.94,0.5
0.22,0,-1,-1,0,0.5
0.27,0,-1,-1,0,0.5
0.32,0,-1,-1,0,0.5
0.36,0,-1,-1,0,0.5
0.39,0,-1,-1,0,0.5
0.42,0,-1,-1,0,0.5
0.45,0,-1,-1,0,0.5
0.48,0,-1,-1,0,0.5
0.52,0,-1,-1,0,0.5
0.55,0,-1,-1,0,0.5
0.58,0,-1,-1,0,0.5
0.6,0,-1,-1,0,0.5
0.63,0,-1,-1,0,0.5
0.67,0,-1,-1,0,0.5
0.69,0,-1,-1,0,0.5
0.72,0,-1,-1,0,0.5
0.75,0,-1,-1,0,0.5
0.78,0,-1,-1,0,0.5
0.81,0,-1,-1,0,0.5
0.84,0,-1,-1,0,0.5
0.87,0,-1,-1,0,0.5
0.9,0,-1,-1,0,0.5
0.93,0,-1,-1,0,0.5
0.96,1,545,272,84.32,0.5
0.99,1,411,289,114.95,0.5
1.03,1,94,296,100.0,0.5
1.05,1,23,271,53.13,0.5
1.08,0,-1,-1,0,0.5
1.12,0,-1,-1,0,0.5
1.15,0,-1,-1,0,0.5
1.17,0,-1,-1,0,0.5
1.2,0,-1,-1,0,0.5
1.23,0,-1,-1,0,0.5
1.27,0,-1,-1,0,0.5
1.29,0,-1,-1,0,0.5
1.32,0,-1,-1,0,0.5
1.35,0,-1,-1,0,0.5
1.38,0,-1,-1,0,0.5
1.41,0,-1,-1,0,0.5
1.44,0,-1,-1,0,0.5
1.47,0,-1,-1,0,0.5
1.5,0,-1,-1,0,0.5
1.53,0,-1,-1,0,0.5
1.56,0,-1,-1,0,0.5
1.6,0,-1,-1,0,0.5
1.63,0,-1,-1,0,0.5
1.66,0,-1,-1,0,0.5
1.69,0,-1,-1,0,0.5
1.72,0,-1,-1,0,0.5
1.75,0,-1,-1,0,0.5
1.78,0,-1,-1,0,0.5
1.81,0,-1,-1,0,0.5
1.84,0,-1,-1,0,0.5
1.87,1,12,268,45.03,0.5
1.9,1,73,291,88.01,0.5
1.93,1,346,293,100.24,0.5
1.96,1,496,278,96.22,0.5
2.0,1,575,250,58.52,0.5
2.02,0,-1,-1,0,0.5
2.05,0,-1,-1,0,0.5
2.08,0,-1,-1,0,0.5
2.12,0,-1,-1,0,0.5
2.15,0,-1,-1,0,0.5
2.18,0,-1,-1,0,0.5
2.22,0,-1,-1,0,0.5
2.25,0,-1,-1,0,0.5
2.28,0,-1,-1,0,0.5
2.3,0,-1,-1,0,0.5
2.34,0,-1,-1,0,0.5
2.37,0,-1,-1,0,0.5
2.39,0,-1,-1,0,0.5
2.42,0,-1,-1,0,0.5
2.45,0,-1,-1,0,0.5
2.48,0,-1,-1,0,0.5
2.51,0,-1,-1,0,0.5
2.54,0,-1,-1,0,0.5
2.57,0,-1,-1,0,0.5
2.6,0,-1,-1,0,0.5
2.63,0,-1,-1,0,0.5
2.66,0,-1,-1,0,0.5
2.69,0,-1,-1,0,0.5
2.72,0,-1,-1,0,0.5
2.75,1,577,261,63.02,0.5
2.78,1,495,278,110.55,0.5
2.81,1,339,295,111.03,0.5
2.85,1,193,299,105.29,0.5
2.88,1,14,262,44.55,0.5
2.9,0,-1,-1,0,0.5
2.93,0,-1,-1,0,0.5
2.97,0,-1,-1,0,0.5
3.0,0,-1,-1,0,0.5
3.03,0,-1,-1,0,0.5
3.07,0,-1,-1,0,0.5
3.1,0,-1,-1,0,0.5
3.12,0,-1,-1,0,0.5
3.15,0,-1,-1,0,0.5
3.18,0,-1,-1,0,0.5
3.22,0,-1,-1,0,0.5
3.24,0,-1,-1,0,0.5
3.27,0,-1,-1,0,0.5
3.31,0,-1,-1,0,0.5
3.34,0,-1,-1,0,0.5
3.37,0,-1,-1,0,0.5
3.41,0,-1,-1,0,0.5
3.44,0,-1,-1,0,0.5
3.47,0,-1,-1,0,0.5
3.5,0,-1,-1,0,0.5
3.53,0,-1,-1,0,0.5
3.56,0,-1,-1,0,0.5
3.6,0,-1,-1,0,0.5
3.62,0,-1,-1,0,0.5
3.65,1,30,275,63.47,0.5
3.68,1,102,293,91.33,0.5
3.72,1,228,297,96.47,0.5
3.75,1,361,292,97.59,0.5
3.78,1,573,253,61.53,0.5
3.81,0,-1,-1,0,0.5
3.85,0,-1,-1,0,0.5
3.87,0,-1,-1,0,0.5
3.9,0,-1,-1,0,0.5
3.93,0,-1,-1,0,0.5
3.96,0,-1,-1,0,0.5
3.99,0,-1,-1,0,0.5
4.02,0,-1,-1,0,0.5
4.05,0,-1,-1,0,0.5
4.08,0,-1,-1,0,0.5
4.12,0,-1,-1,0,0.5
4.14,0,-1,-1,0,0.5
4.17,0,-1,-1,0,0.5
4.21,0,-1,-1,0,0.5
4.24,0,-1,-1,0,0.5
4.27,0,-1,-1,0,0.5
4.3,0,-1,-1,0,0.5
4.33,0,-1,-1,0,0.5
4.36,0,-1,-1,0,0.5
4.39,0,-1,-1,0,0.5
4.42,0,-1,-1,0,0.5
4.45,0,-1,-1,0,0.5
4.48,0,-1,-1,0,0.5
4.51,0,-1,-1,0,0.5
4.54,1,576,262,65.53,0.5
4.58,1,360,293,108.17,0.5
4.61,1,226,299,102.16,0.5
4.64,1,104,295,94.5,0.5
4.67,0,-1,-1,0,0.5
4.7,0,-1,-1,0,0.5
4.73,0,-1,-1,0,0.5
4.76,0,-1,-1,0,0.5
4.79,0,-1,-1,0,0.5
4.82,0,-1,-1,0,0.5
4.85,0,-1,-1,0,0.5
4.88,0,-1,-1,0,0.5
4.91,0,-1,-1,0,0.5
4.94,0,-1,-1,0,0.5
4.97,0,-1,-1,0,0.5
5.0,0,-1,-1,0,0.5
5.03,0,-1,-1,0,0.5
5.06,0,-1,-1,0,0.5
5.09,0,-1,-1,0,0.5
5.12,0,-1,-1,0,0.5
5.15,0,-1,-1,0,0.5
5.18,0,-1,-1,0,0.5
5.21,0,-1,-1,0,0.5
5.24,0,-1,-1,0,0.5
5.27,0,-1,-1,0,0.5
5.3,0,-1,-1,0,0.5
5.33,0,-1,-1,0,0.5
5.36,0,-1,-1,0,0.5
5.39,0,-1,-1,0,0.5
5.42,1,14,265,47.76,0.5
5.45,1,61,284,82.65,0.5
5.48,1,273,297,94.63,0.5
5.51,1,397,289,95.62,0.5
5.54,1,519,274,91.57,0.5
5.57,1,579,249,58.03,0.5
5.6,0,-1,-1,0,0.5
5.63,0,-1,-1,0,0.5
5.66,0,-1,-1,0,0.5
5.69,0,-1,-1,0,0.5
5.72,0,-1,-1,0,0.5
5.75,0,-1,-1,0,0.5
5.78,0,-1,-1,0,0.5
5.81,0,-1,-1,0,0.5
5.84,0,-1,-1,0,0.5
5.87,0,-1,-1,0,0.5
5.9,0,-1,-1,0,0.5
5.93,0,-1,-1,0,0.5
5.96,0,-1,-1,0,0.5
5.99,0,-1,-1,0,0.5
6.02,0,-1,-1,0,0.5
6.05,0,-1,-1,0,0.5
6.08,0,-1,-1,0,0.5
6.11,0,-1,-1,0,0.5
6.14,0,-1,-1,0,0.5
6.17,0,-1,-1,0,0.5
6.2,0,-1,-1,0,0.5
6.23,0,-1,-1,0,0.5
6.26,0,-1,-1,0,0.5
6.29,1,573,263,69.01,0.5
6.32,1,505,277,106.17,0.5
6.36,1,251,298,100.48,0.5
6.4,1,137,297,94.45,0.5
6.42,1,11,258,39.54,0.5
6.46,0,-1,-1,0,0.5
6.49,0,-1,-1,0,0.5
6.52,0,-1,-1,0,0.5
6.55,0,-1,-1,0,0.5
6.58,0,-1,-1,0,0.5
6.6,0,-1,-1,0,0.5
6.64,0,-1,-1,0,0.5
6.67,0,-1,-1,0,0.5
6.7,0,-1,-1,0,0.5
6.73,0,-1,-1,0,0.5
6.76,0,-1,-1,0,0.5
6.79,0,-1,-1,0,0.5
6.82,0,-1,-1,0,0.5
6.85,0,-1,-1,0,0.5
6.88,0,-1,-1,0,0.5
6.91,0,-1,-1,0,0.5
6.94,0,-1,-1,0,0.5
6.97,0,-1,-1,0,0.5
7.01,0,-1,-1,0,0.5
7.03,0,-1,-1,0,0.5
7.07,0,-1,-1,0,0.5
7.1,0,-1,-1,0,0.5
7.13,0,-1,-1,0,0.5
7.16,1,33,274,65.79,0.5
7.19,1,90,290,83.26,0.5
7.22,1,189,297,90.06,0.5
7.25,1,413,288,93.94,0.5
7.28,1,523,273,89.6,0.5
7.32,1,578,251,59.55,0.5
7.35,0,-1,-1,0,0.5
7.38,0,-1,-1,0,0.5
7.41,0,-1,-1,0,0.5
7.44,0,-1,-1,0,0.5
7.47,0,-1,-1,0,0.5
7.5,0,-1,-1,0,0.5
7.53,0,-1,-1,0,0.5
7.56,0,-1,-1,0,0.5
7.59,0,-1,-1,0,0.5
7.62,0,-1,-1,0,0.5
7.65,0,-1,-1,0,0.5
7.68,0,-1,-1,0,0.5
7.71,0,-1,-1,0,0.5
7.74,0,-1,-1,0,0.5
7.77,0,-1,-1,0,0.5
7.8,0,-1,-1,0,0.5
7.83,0,-1,-1,0,0.5
7.87,0,-1,-1,0,0.5
7.9,0,-1,-1,0,0.5
7.92,0,-1,-1,0,0.5
7.95,0,-1,-1,0,0.5
7.99,0,-1,-1,0,0.5
8.02,1,583,259,60.01,0.5
8.05,1,526,274,98.33,0.5
8.08,1,299,297,100.98,0.5
8.11,1,190,299,94.44,0.5
8.15,1,93,292,86.06,0.5
8.17,1,4,259,11.7,0.5
8.2,0,-1,-1,0,0.5
8.23,0,-1,-1,0,0.5
8.27,0,-1,-1,0,0.5
8.29,0,-1,-1,0,0.5
8.32,0,-1,-1,0,0.5
8.36,0,-1,-1,0,0.5
8.39,0,-1,-1,0,0.5
8.42,0,-1,-1,0,0.5
8.45,0,-1,-1,0,0.5
8.48,0,-1,-1,0,0.5
8.51,0,-1,-1,0,0.5
8.54,0,-1,-1,0,0.5
8.57,0,-1,-1,0,0.5
8.6,0,-1,-1,0,0.5
8.63,0,-1,-1,0,0.5
8.66,0,-1,-1,0,0.5
8.69,0,-1,-1,0,0.5
8.72,0,-1,-1,0,0.5
8.75,0,-1,-1,0,0.5
8.78,0,-1,-1,0,0.5
8.82,0,-1,-1,0,0.5
8.85,0,-1,-1,0,0.5
8.88,1,38,275,68.71,0.5
8.9,1,93,289,80.89,0.5
8.94,1,184,296,87.52,0.5
8.97,1,283,297,91.41,0.5
9.0,1,389,291,92.51,0.5
9.03,1,563,261,71.17,0.5
9.06,0,-1,-1,0,0.5
9.09,0,-1,-1,0,0.5
9.12,0,-1,-1,0,0.5
9.15,0,-1,-1,0,0.5
9.18,0,-1,-1,0,0.5
9.21,0,-1,-1,0,0.5
9.24,0,-1,-1,0,0.5
9.27,0,-1,-1,0,0.5
9.3,0,-1,-1,0,0.5
9.33,0,-1,-1,0,0.5
9.36,0,-1,-1,0,0.5
9.39,0,-1,-1,0,0.5
9.42,0,-1,-1,0,0.5
9.45,0,-1,-1,0,0.5
9.48,0,-1,-1,0,0.5
9.51,0,-1,-1,0,0.5
9.54,0,-1,-1,0,0.5
9.57,0,-1,-1,0,0.5
9.6,0,-1,-1,0,0.5
9.63,0,-1,-1,0,0.5
9.66,0,-1,-1,0,0.5
9.69,0,-1,-1,0,0.5
9.73,1,564,267,75.3,0.5
9.75,1,500,278,102.3,0.5
9.79,1,388,291,101.13,0.5
9.83,1,183,298,91.64,0.5
9.85,1,95,291,84.49,0.5
9.88,1,39,274,66.75,0.5
9.92,1,9,252,36.53,0.5
9.95,0,-1,-1,0,0.5
9.98,0,-1,-1,0,0.5
10.0,0,-1,-1,0,0.5
10.04,0,-1,-1,0,0.5
10.07,0,-1,-1,0,0.5
10.1,0,-1,-1,0,0.5
10.13,0,-1,-1,0,0.5
10.16,0,-1,-1,0,0.5
10.19,0,-1,-1,0,0.5
10.22,0,-1,-1,0,0.5
10.25,0,-1,-1,0,0.5
10.28,0,-1,-1,0,0.5
10.32,0,-1,-1,0,0.5
10.35,0,-1,-1,0,0.5
10.38,0,-1,-1,0,0.5
10.42,0,-1,-1,0,0.5
10.45,0,-1,-1,0,0.5
10.47,0,-1,-1,0,0.5
10.5,0,-1,-1,0,0.5
10.54,0,-1,-1,0,0.5
10.57,1,26,265,57.41,0.5
10.6,1,63,282,77.71,0.5
10.63,1,137,293,83.15,0.5
10.66,1,225,297,87.73,0.5
10.69,1,318,295,90.03,0.5
10.72,1,418,288,91.5,0.5
10.75,1,570,258,68.55,0.5
10.79,0,-1,-1,0,0.5
10.82,0,-1,-1,0,0.5
10.85,0,-1,-1,0,0.5
10.88,0,-1,-1,0,0.5
10.91,0,-1,-1,0,0.5
10.94,0,-1,-1,0,0.5
10.97,0,-1,-1,0,0.5
11.0,0,-1,-1,0,0.5
11.03,0,-1,-1,0,0.5
11.06,0,-1,-1,0,0.5
11.09,0,-1,-1,0,0.5
11.12,0,-1,-1,0,0.5
11.15,0,-1,-1,0,0.5
11.18,0,-1,-1,0,0.5
11.21,0,-1,-1,0,0.5
11.24,0,-1,-1,0,0.5
11.27,0,-1,-1,0,0.5
11.3,0,-1,-1,0,0.5
11.33,0,-1,-1,0,0.5
11.36,0,-1,-1,0,0.5
11.39,0,-1,-1,0,0.5
11.42,1,572,263,71.53,0.5
11.46,1,520,275,96.88,0.5
11.49,1,421,288,100.42,0.5
11.52,1,320,296,97.4,0.5
11.55,1,140,295,85.4,0.5
11.58,1,65,284,76.08,0.5
