Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,1
0.11,1,112,285,52.46,1
0.18,1,322,310,52.8,1
0.26,1,536,261,45.5,1
0.31,0,-1,-1,0,1
0.35,0,-1,-1,0,1
0.37,0,-1,-1,0,1
0.41,0,-1,-1,0,1
0.44,0,-1,-1,0,1
0.47,0,-1,-1,0,1
0.49,0,-1,-1,0,1
0.52,0,-1,-1,0,1
0.56,0,-1,-1,0,1
0.59,0,-1,-1,0,1
0.62,0,-1,-1,0,1
0.65,0,-1,-1,0,1
0.68,0,-1,-1,0,1
0.71,0,-1,-1,0,1
0.74,0,-1,-1,0,1
0.78,0,-1,-1,0,1
0.81,0,-1,-1,0,1
0.84,0,-1,-1,0,1
0.87,0,-1,-1,0,1
0.9,0,-1,-1,0,1
0.94,0,-1,-1,0,1
0.96,0,-1,-1,0,1
0.99,1,533,260,47.01,1
1.03,1,466,283,48.39,1
1.06,1,396,300,50.44,1
1.09,1,325,309,53.26,1
1.12,1,190,302,51.15,1
1.15,1,129,289,49.37,1
1.18,1,75,270,45.88,1
1.21,1,30,247,37.74,1
1.24,1,9,223,20.67,1
1.28,0,-1,-1,0,1
1.32,0,-1,-1,0,1
1.34,0,-1,-1,0,1
1.37,0,-1,-1,0,1
1.4,0,-1,-1,0,1
1.43,0,-1,-1,0,1
1.46,0,-1,-1,0,1
1.49,0,-1,-1,0,1
1.52,0,-1,-1,0,1
1.56,0,-1,-1,0,1
1.59,0,-1,-1,0,1
1.61,0,-1,-1,0,1
1.65,0,-1,-1,0,1
1.68,0,-1,-1,0,1
1.71,0,-1,-1,0,1
1.74,0,-1,-1,0,1
1.78,0,-1,-1,0,1
1.81,0,-1,-1,0,1
1.84,0,-1,-1,0,1
1.87,1,23,242,35.92,1
1.9,1,61,265,46.06,1
1.93,1,115,286,49.65,1
1.96,1,175,301,51.42,1
1.99,1,304,310,50.92,1
2.02,1,371,305,48.63,1
2.06,1,436,292,46.33,1
2.09,1,497,274,43.92,1
2.11,1,554,253,42.54,1
2.14,0,-1,-1,0,1
2.18,0,-1,-1,0,1
2.21,0,-1,-1,0,1
2.24,0,-1,-1,0,1
2.27,0,-1,-1,0,1
2.31,0,-1,-1,0,1
2.33,0,-1,-1,0,1
2.36,0,-1,-1,0,1
2.39,0,-1,-1,0,1
2.43,0,-1,-1,0,1
2.46,0,-1,-1,0,1
2.49,0,-1,-1,0,1
2.52,0,-1,-1,0,1
2.56,0,-1,-1,0,1
2.59,0,-1,-1,0,1
2.62,0,-1,-1,0,1
2.65,0,-1,-1,0,1
2.68,0,-1,-1,0,1
2.71,0,-1,-1,0,1
2.74,0,-1,-1,0,1
