Distance (m),Total Frames,Detected Frames,Detection Rate (%)
0.5,637,150,23.55
0.5,637,150,23.55
0.5,640,163,25.47
0.5,639,180,28.17
0.5,639,159,24.88
0.5,647,160,24.73
0.5,638,153,23.98
0.5,523,123,23.52
0.5,636,159,25.0
0.5,527,135,25.62

1,637,393,61.7
1,642,382,59.5
1,635,320,50.39
1,627,425,67.78
1,640,374,58.44
1,536,337,62.87
1,633,368,58.14
1,632,375,59.34
1,632,321,50.79
1,629,387,61.53

2,591,576,97.46
2,607,587,96.71
2,601,581,96.67
2,608,586,96.38
2,608,591,97.2
2,603,575,95.36
2,611,594,97.22
2,610,589,96.56
2,607,580,95.55
2,605,581,96.03
